Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
30,0.0,0.0,9,0.4,0.11592127467028349
30,0.0,0.0,9,0.5,0.09559220323608626
30,0.0,0.0,9,0.6,0.08047513463742774
30,0.0,0.0,10,0.4,0.0755821685599257
30,0.0,0.0,10,0.5,0.05905502909763916
30,0.0,0.0,10,0.6,0.06772520228612516
30,0.0,0.0,11,0.4,0.060579889435209144
30,0.0,0.0,11,0.5,0.08251003783095098
30,0.0,0.0,11,0.6,0.046873958896261565
30,0.0,0.05,9,0.4,0.0038426901311345153
30,0.0,0.05,9,0.5,0.0034298664700838618
30,0.0,0.05,9,0.6,0.0036817948894754472
30,0.0,0.05,10,0.4,0.0038889747262629637
30,0.0,0.05,10,0.5,0.0038537057481993174
30,0.0,0.05,10,0.6,0.0026967186995276882
30,0.0,0.05,11,0.4,0.002759961824640425
30,0.0,0.05,11,0.5,0.0026705715775093585
30,0.0,0.05,11,0.6,0.0010326797385620914
30,0.0,0.1,9,0.4,0.0017970199102274576
30,0.0,0.1,9,0.5,0.0014581181870338498
30,0.0,0.1,9,0.6,0.0012518748442349955
30,0.0,0.1,10,0.4,0.0006791752871513162
30,0.0,0.1,10,0.5,0.0008547773551130007
30,0.0,0.1,10,0.6,0.0012231509625126647
30,0.0,0.1,11,0.4,0.00044444444444444447
30,0.0,0.1,11,0.5,0.0010052910052910052
30,0.0,0.1,11,0.6,0.0011671293489475306
30,0.0,0.15000000000000002,9,0.4,0.0007151741293532338
30,0.0,0.15000000000000002,9,0.5,0.0012232477260567148
30,0.0,0.15000000000000002,9,0.6,0.0006842105263157893
30,0.0,0.15000000000000002,10,0.4,0.00038095238095238096
30,0.0,0.15000000000000002,10,0.5,0.0011111111111111111
30,0.0,0.15000000000000002,10,0.6,0.0005970149253731343
30,0.0,0.15000000000000002,11,0.4,0.0010095238095238095
30,0.0,0.15000000000000002,11,0.5,0.0010789426362165077
30,0.0,0.15000000000000002,11,0.6,0.0004878048780487805
30,0.0,0.2,9,0.4,0.0003846153846153846
30,0.0,0.2,9,0.5,0.0003333333333333333
30,0.0,0.2,9,0.6,0.00037383177570093456
30,0.0,0.2,10,0.4,0.0003846153846153846
30,0.0,0.2,10,0.5,0.0
30,0.0,0.2,10,0.6,0.0
30,0.0,0.2,11,0.4,0.0012047101449275362
30,0.0,0.2,11,0.5,0.0
30,0.0,0.2,11,0.6,0.0
30,0.0,0.25,9,0.4,0.0
30,0.0,0.25,9,0.5,0.0
30,0.0,0.25,9,0.6,0.0005063291139240507
30,0.0,0.25,10,0.4,0.000392156862745098
30,0.0,0.25,10,0.5,0.0004040404040404041
30,0.0,0.25,10,0.6,0.0
30,0.0,0.25,11,0.4,0.0004301075268817205
30,0.0,0.25,11,0.5,0.0
30,0.0,0.25,11,0.6,0.0007969865186360031
30,0.0,0.30000000000000004,9,0.4,0.0
30,0.0,0.30000000000000004,9,0.5,0.0
30,0.0,0.30000000000000004,9,0.6,0.0
30,0.0,0.30000000000000004,10,0.4,0.0005714285714285714
30,0.0,0.30000000000000004,10,0.5,0.0
30,0.0,0.30000000000000004,10,0.6,0.0
30,0.0,0.30000000000000004,11,0.4,0.00041666666666666664
30,0.0,0.30000000000000004,11,0.5,0.0006153846153846154
30,0.0,0.30000000000000004,11,0.6,0.0
30,0.0,0.35000000000000003,9,0.4,0.000310077519379845
30,0.0,0.35000000000000003,9,0.5,0.00031496062992125983
30,0.0,0.35000000000000003,9,0.6,0.0
30,0.0,0.35000000000000003,10,0.4,0.0004597701149425287
30,0.0,0.35000000000000003,10,0.5,0.0007401261201460338
30,0.0,0.35000000000000003,10,0.6,0.0004301075268817205
30,0.0,0.35000000000000003,11,0.4,0.0004651162790697674
30,0.0,0.35000000000000003,11,0.5,0.0
30,0.0,0.35000000000000003,11,0.6,0.000425531914893617
30,0.0,0.4,9,0.4,0.0005714285714285714
30,0.0,0.4,9,0.5,0.0
30,0.0,0.4,9,0.6,0.0
30,0.0,0.4,10,0.4,0.00044444444444444447
30,0.0,0.4,10,0.5,0.0006779661016949153
30,0.0,0.4,10,0.6,0.0
30,0.0,0.4,11,0.4,0.0
30,0.0,0.4,11,0.5,0.0007827415043909888
30,0.0,0.4,11,0.6,0.0003773584905660377
30,0.0,0.45,9,0.4,0.0
30,0.0,0.45,9,0.5,0.0
30,0.0,0.45,9,0.6,0.0
30,0.0,0.45,10,0.4,0.0
30,0.0,0.45,10,0.5,0.0010701630049610206
30,0.0,0.45,10,0.6,0.0005194805194805195
30,0.0,0.45,11,0.4,0.0005
30,0.0,0.45,11,0.5,0.0005
30,0.0,0.45,11,0.6,0.0003846153846153846
30,0.2,0.0,9,0.4,0.5546213872538697
30,0.2,0.0,9,0.5,0.5399294644514678
30,0.2,0.0,9,0.6,0.5265450883898606
30,0.2,0.0,10,0.4,0.5567060024256713
30,0.2,0.0,10,0.5,0.5434193418717094
30,0.2,0.0,10,0.6,0.5304778840037755
30,0.2,0.0,11,0.4,0.5233238662683688
30,0.2,0.0,11,0.5,0.5204578610356674
30,0.2,0.0,11,0.6,0.5189614131159022
30,0.2,0.05,9,0.4,0.7994899555108914
30,0.2,0.05,9,0.5,0.7406569525781767
30,0.2,0.05,9,0.6,0.7002326413221511
30,0.2,0.05,10,0.4,0.7992994842477908
30,0.2,0.05,10,0.5,0.7432518164228459
30,0.2,0.05,10,0.6,0.7018235082712978
30,0.2,0.05,11,0.4,0.8028763578035166
30,0.2,0.05,11,0.5,0.7421752276927711
30,0.2,0.05,11,0.6,0.7066391571277864
30,0.2,0.1,9,0.4,0.8611274064626564
30,0.2,0.1,9,0.5,0.8245696834886291
30,0.2,0.1,9,0.6,0.7749832372316583
