Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
10,0.2,0.25,10,0.4,0.8406773750026123
10,0.2,0.25,10,0.5,0.8001960234171571
10,0.2,0.25,10,0.6,0.7718813781541563
10,0.2,0.25,11,0.4,0.8498922733875897
10,0.2,0.25,11,0.5,0.8135102840820926
10,0.2,0.25,11,0.6,0.7772747266752947
10,0.2,0.30000000000000004,9,0.4,0.8561024546062963
10,0.2,0.30000000000000004,9,0.5,0.8272983707166827
10,0.2,0.30000000000000004,9,0.6,0.787321288755047
10,0.2,0.30000000000000004,10,0.4,0.8424015999667468
10,0.2,0.30000000000000004,10,0.5,0.8256372122301007
10,0.2,0.30000000000000004,10,0.6,0.7809330839527481
10,0.2,0.30000000000000004,11,0.4,0.8537807043839178
10,0.2,0.30000000000000004,11,0.5,0.842305743153169
10,0.2,0.30000000000000004,11,0.6,0.803154539752931
10,0.2,0.35000000000000003,9,0.4,0.8341529180008816
10,0.2,0.35000000000000003,9,0.5,0.8165907243774047
10,0.2,0.35000000000000003,9,0.6,0.8081532332758344
10,0.2,0.35000000000000003,10,0.4,0.8484719014272266
10,0.2,0.35000000000000003,10,0.5,0.8299173409501054
10,0.2,0.35000000000000003,10,0.6,0.7984571098119018
10,0.2,0.35000000000000003,11,0.4,0.8548010527666117
10,0.2,0.35000000000000003,11,0.5,0.8267175741574287
10,0.2,0.35000000000000003,11,0.6,0.8073822628130223
10,0.2,0.4,9,0.4,0.8385251865938614
10,0.2,0.4,9,0.5,0.8283053704517657
10,0.2,0.4,9,0.6,0.8061554360438125
10,0.2,0.4,10,0.4,0.8522698029003702
10,0.2,0.4,10,0.5,0.8351061577689987
10,0.2,0.4,10,0.6,0.8199183153249474
10,0.2,0.4,11,0.4,0.8694525125621886
10,0.2,0.4,11,0.5,0.8452601098276067
10,0.2,0.4,11,0.6,0.8144218102174027
10,0.2,0.45,9,0.4,0.8347362401499997
10,0.2,0.45,9,0.5,0.846186262046709
10,0.2,0.45,9,0.6,0.8289366160907927
10,0.2,0.45,10,0.4,0.8468314590459848
10,0.2,0.45,10,0.5,0.8466405937023176
10,0.2,0.45,10,0.6,0.8323076626988254
10,0.2,0.45,11,0.4,0.8442467983390685
10,0.2,0.45,11,0.5,0.8394057388050571
10,0.2,0.45,11,0.6,0.8085985604667633
10,0.4,0.0,9,0.4,0.6148063960417903
10,0.4,0.0,9,0.5,0.601211560586698
10,0.4,0.0,9,0.6,0.6229320300943829
10,0.4,0.0,10,0.4,0.6128111494519842
10,0.4,0.0,10,0.5,0.6104661627309271
10,0.4,0.0,10,0.6,0.6072871961755048
10,0.4,0.0,11,0.4,0.6115980857586275
10,0.4,0.0,11,0.5,0.6231200409358513
10,0.4,0.0,11,0.6,0.6159513455109673
10,0.4,0.05,9,0.4,0.7791649926637898
10,0.4,0.05,9,0.5,0.7397880469553094
10,0.4,0.05,9,0.6,0.6803501933296167
10,0.4,0.05,10,0.4,0.770171942056916
10,0.4,0.05,10,0.5,0.7572547598343299
10,0.4,0.05,10,0.6,0.696626946641354
10,0.4,0.05,11,0.4,0.7980335136980271
10,0.4,0.05,11,0.5,0.753058993792574
10,0.4,0.05,11,0.6,0.7142941142116453
10,0.4,0.1,9,0.4,0.8161947462055462
10,0.4,0.1,9,0.5,0.7851740435355302
10,0.4,0.1,9,0.6,0.7558911253491963
10,0.4,0.1,10,0.4,0.8142662732712254
10,0.4,0.1,10,0.5,0.7985597870156887
10,0.4,0.1,10,0.6,0.7618489031691865
10,0.4,0.1,11,0.4,0.8340399581925344
10,0.4,0.1,11,0.5,0.7960530612924888
10,0.4,0.1,11,0.6,0.7794942293440187
