Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
60,0.5,0.06,10,0.5,0.8616633448788817
60,0.5,0.07,10,0.5,0.8428491092266275
60,0.5,0.08,10,0.5,0.832920066667609
60,0.5,0.09,10,0.5,0.829831088179461
60,0.5,0.1,10,0.5,0.8038931425806938
80,0.0,0.0,10,0.5,0.0014016071489677214
80,0.0,0.01,10,0.5,0.015958399689780665
80,0.0,0.02,10,0.5,0.021625476796122162
80,0.0,0.03,10,0.5,0.03401993543255208
80,0.0,0.04,10,0.5,0.040765746082891026
80,0.0,0.05,10,0.5,0.04745786532622795
80,0.0,0.06,10,0.5,0.05443237390090484
80,0.0,0.07,10,0.5,0.06047326506949489
80,0.0,0.08,10,0.5,0.07970207707756273
80,0.0,0.09,10,0.5,0.07704822573125836
80,0.0,0.1,10,0.5,0.07950745597011447
80,0.05,0.0,10,0.5,0.4326490108509209
80,0.05,0.01,10,0.5,0.6648074392242838
80,0.05,0.02,10,0.5,0.6943298339179897
80,0.05,0.03,10,0.5,0.7278315624013563
80,0.05,0.04,10,0.5,0.776943945862156
80,0.05,0.05,10,0.5,0.78863671100045
80,0.05,0.06,10,0.5,0.7790410184064825
80,0.05,0.07,10,0.5,0.8067509219576294
80,0.05,0.08,10,0.5,0.8223436254569745
80,0.05,0.09,10,0.5,0.8121261066334907
80,0.05,0.1,10,0.5,0.8351546247423012
80,0.1,0.0,10,0.5,0.435584937136419
80,0.1,0.01,10,0.5,0.7148793499961903
80,0.1,0.02,10,0.5,0.7523977087607016
80,0.1,0.03,10,0.5,0.8083041108677514
80,0.1,0.04,10,0.5,0.8452723707076423
80,0.1,0.05,10,0.5,0.8630173611417047
80,0.1,0.06,10,0.5,0.8529147115866107
80,0.1,0.07,10,0.5,0.8444897839443037
80,0.1,0.08,10,0.5,0.8576283224149257
80,0.1,0.09,10,0.5,0.8488374475259641
80,0.1,0.1,10,0.5,0.8527021682029147
80,0.15000000000000002,0.0,10,0.5,0.4089679000041538
80,0.15000000000000002,0.01,10,0.5,0.7529910997510681
80,0.15000000000000002,0.02,10,0.5,0.7834232986127699
80,0.15000000000000002,0.03,10,0.5,0.8366804524005862
80,0.15000000000000002,0.04,10,0.5,0.8620813166172258
80,0.15000000000000002,0.05,10,0.5,0.8807784505564854
80,0.15000000000000002,0.06,10,0.5,0.8454896784230658
80,0.15000000000000002,0.07,10,0.5,0.8625139899240892
80,0.15000000000000002,0.08,10,0.5,0.8516927216823948
80,0.15000000000000002,0.09,10,0.5,0.8641655860536148
80,0.15000000000000002,0.1,10,0.5,0.8599869464119471
80,0.2,0.0,10,0.5,0.4111822710251603
80,0.2,0.01,10,0.5,0.7733030192126494
80,0.2,0.02,10,0.5,0.8199200875110363
80,0.2,0.03,10,0.5,0.8572230688132402
80,0.2,0.04,10,0.5,0.8812447317065518
80,0.2,0.05,10,0.5,0.8631153131495818
80,0.2,0.06,10,0.5,0.86190707568166
80,0.2,0.07,10,0.5,0.8755530356570611
80,0.2,0.08,10,0.5,0.8661309834219734
80,0.2,0.09,10,0.5,0.8537092915373059
80,0.2,0.1,10,0.5,0.8519189784599419
80,0.25,0.0,10,0.5,0.39718039274542166
80,0.25,0.01,10,0.5,0.777968040581954
80,0.25,0.02,10,0.5,0.8502380587445404
80,0.25,0.03,10,0.5,0.8711758988690409
80,0.25,0.04,10,0.5,0.8892456028144069
80,0.25,0.05,10,0.5,0.8694097290854736
80,0.25,0.06,10,0.5,0.8638949276710862
80,0.25,0.07,10,0.5,0.8676805023190108
80,0.25,0.08,10,0.5,0.8639244487994253
80,0.25,0.09,10,0.5,0.8546838241271557
80,0.25,0.1,10,0.5,0.8366257042325352
80,0.30000000000000004,0.0,10,0.5,0.42283508993045593
80,0.30000000000000004,0.01,10,0.5,0.8111713038840306
80,0.30000000000000004,0.02,10,0.5,0.8684688243855142
80,0.30000000000000004,0.03,10,0.5,0.8755922686361393
80,0.30000000000000004,0.04,10,0.5,0.8864433172296952
80,0.30000000000000004,0.05,10,0.5,0.8812871285264159
80,0.30000000000000004,0.06,10,0.5,0.8759312510036765
80,0.30000000000000004,0.07,10,0.5,0.8645630455643052
80,0.30000000000000004,0.08,10,0.5,0.853450221646692
80,0.30000000000000004,0.09,10,0.5,0.8482967297161601
80,0.30000000000000004,0.1,10,0.5,0.8225855438006004
80,0.35000000000000003,0.0,10,0.5,0.3839401071859939
80,0.35000000000000003,0.01,10,0.5,0.8114958514429221
80,0.35000000000000003,0.02,10,0.5,0.8717063522889713
80,0.35000000000000003,0.03,10,0.5,0.8809447605787304
80,0.35000000000000003,0.04,10,0.5,0.8796245481471765
80,0.35000000000000003,0.05,10,0.5,0.8687817726024971
80,0.35000000000000003,0.06,10,0.5,0.8584478344396348
80,0.35000000000000003,0.07,10,0.5,0.8443786806223313
80,0.35000000000000003,0.08,10,0.5,0.8400273299052041
80,0.35000000000000003,0.09,10,0.5,0.8306019408010507
80,0.35000000000000003,0.1,10,0.5,0.8117456796811507
80,0.4,0.0,10,0.5,0.4205314460019664
80,0.4,0.01,10,0.5,0.8231653072630394
80,0.4,0.02,10,0.5,0.8689981579095903
80,0.4,0.03,10,0.5,0.8881938918572654
80,0.4,0.04,10,0.5,0.8830754111879041
80,0.4,0.05,10,0.5,0.857737702761921
80,0.4,0.06,10,0.5,0.8620048212983682
80,0.4,0.07,10,0.5,0.864813798698183
80,0.4,0.08,10,0.5,0.830552566584861
80,0.4,0.09,10,0.5,0.8346770945075775
80,0.4,0.1,10,0.5,0.811517633528348
80,0.45,0.0,10,0.5,0.4775155194771503
80,0.45,0.01,10,0.5,0.8177241467434934
80,0.45,0.02,10,0.5,0.8730102334301837
80,0.45,0.03,10,0.5,0.8842166246567618
80,0.45,0.04,10,0.5,0.8867447274166953
80,0.45,0.05,10,0.5,0.8537465494844559
80,0.45,0.06,10,0.5,0.8602026125557461
80,0.45,0.07,10,0.5,0.8153918741348538
80,0.45,0.08,10,0.5,0.8151717556025904
80,0.45,0.09,10,0.5,0.8007559862919161
80,0.45,0.1,10,0.5,0.7882874827750821
80,0.5,0.0,10,0.5,0.49480512778517743
80,0.5,0.01,10,0.5,0.8279489410955467
80,0.5,0.02,10,0.5,0.8826635512352103
80,0.5,0.03,10,0.5,0.8809270473326011
80,0.5,0.04,10,0.5,0.8772442827172633
80,0.5,0.05,10,0.5,0.8693989987735691
80,0.5,0.06,10,0.5,0.8582591770923008
80,0.5,0.07,10,0.5,0.8146291423114915
80,0.5,0.08,10,0.5,0.802837698401595
80,0.5,0.09,10,0.5,0.7939598417297509
80,0.5,0.1,10,0.5,0.7794740138481955
100,0.0,0.0,10,0.5,0.00048160216198247076
100,0.0,0.01,10,0.5,0.021877874706886357
100,0.0,0.02,10,0.5,0.029654642259951815
100,0.0,0.03,10,0.5,0.03644924888138301
100,0.0,0.04,10,0.5,0.05041847877705909
100,0.0,0.05,10,0.5,0.05454236621385689
100,0.0,0.06,10,0.5,0.06377371012565551
100,0.0,0.07,10,0.5,0.08225670397024841
100,0.0,0.08,10,0.5,0.08368663885598787
100,0.0,0.09,10,0.5,0.09184114573156804
100,0.0,0.1,10,0.5,0.0932860923338316
100,0.05,0.0,10,0.5,0.37152443333302465
