Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
30,0.0,0.0,10,0.5,0.0009116373822256176
30,0.0,0.01,10,0.5,0.015767356282640962
30,0.0,0.02,10,0.5,0.0121098433958647
30,0.0,0.03,10,0.5,0.016094466292134305
30,0.0,0.04,10,0.5,0.02152608260170045
30,0.0,0.05,10,0.5,0.016459936725986415
30,0.0,0.06,10,0.5,0.02408766164631347
30,0.0,0.07,10,0.5,0.027486378017774447
30,0.0,0.08,10,0.5,0.02646314526307127
30,0.0,0.09,10,0.5,0.032770040359149356
30,0.0,0.1,10,0.5,0.034171579012246746
30,0.05,0.0,10,0.5,0.5228421030594528
30,0.05,0.01,10,0.5,0.6751222049193527
30,0.05,0.02,10,0.5,0.6486719770357066
30,0.05,0.03,10,0.5,0.695311240778072
30,0.05,0.04,10,0.5,0.7222809476185238
30,0.05,0.05,10,0.5,0.7551145612933212
30,0.05,0.06,10,0.5,0.7442731952451583
30,0.05,0.07,10,0.5,0.7498798279995093
30,0.05,0.08,10,0.5,0.7676255240600506
30,0.05,0.09,10,0.5,0.7796941140659662
30,0.05,0.1,10,0.5,0.7522498067571184
30,0.1,0.0,10,0.5,0.5129651835842265
30,0.1,0.01,10,0.5,0.6909876895954257
30,0.1,0.02,10,0.5,0.725761614715294
30,0.1,0.03,10,0.5,0.7679946599267709
30,0.1,0.04,10,0.5,0.7610901199317699
30,0.1,0.05,10,0.5,0.7738929637975255
30,0.1,0.06,10,0.5,0.7956971975255963
30,0.1,0.07,10,0.5,0.8023499463550404
30,0.1,0.08,10,0.5,0.8227879810694593
30,0.1,0.09,10,0.5,0.8273140186356832
30,0.1,0.1,10,0.5,0.827847028286925
30,0.15000000000000002,0.0,10,0.5,0.49392839924183746
30,0.15000000000000002,0.01,10,0.5,0.7091805449374607
30,0.15000000000000002,0.02,10,0.5,0.7317473335395497
30,0.15000000000000002,0.03,10,0.5,0.7903888692439799
30,0.15000000000000002,0.04,10,0.5,0.8004461224768549
30,0.15000000000000002,0.05,10,0.5,0.8358210644612669
30,0.15000000000000002,0.06,10,0.5,0.8280573307220177
30,0.15000000000000002,0.07,10,0.5,0.8369763793281938
30,0.15000000000000002,0.08,10,0.5,0.8261932678143608
30,0.15000000000000002,0.09,10,0.5,0.8443177627169802
30,0.15000000000000002,0.1,10,0.5,0.8593351472251635
30,0.2,0.0,10,0.5,0.49387275055508745
30,0.2,0.01,10,0.5,0.7489495189597397
30,0.2,0.02,10,0.5,0.7823619958821779
30,0.2,0.03,10,0.5,0.8007656815159472
30,0.2,0.04,10,0.5,0.8273116120884328
30,0.2,0.05,10,0.5,0.8440988746472999
30,0.2,0.06,10,0.5,0.8415420904173488
30,0.2,0.07,10,0.5,0.8567239851199617
30,0.2,0.08,10,0.5,0.8528241361426221
30,0.2,0.09,10,0.5,0.8604080999792937
30,0.2,0.1,10,0.5,0.8487391544186093
30,0.25,0.0,10,0.5,0.5029118505686391
30,0.25,0.01,10,0.5,0.7456330080172067
30,0.25,0.02,10,0.5,0.7797978095997832
30,0.25,0.03,10,0.5,0.8123963390638959
30,0.25,0.04,10,0.5,0.833695116874814
30,0.25,0.05,10,0.5,0.843350906273871
30,0.25,0.06,10,0.5,0.8525157842202675
30,0.25,0.07,10,0.5,0.8581306647038474
30,0.25,0.08,10,0.5,0.8576075179270792
30,0.25,0.09,10,0.5,0.8556315380017818
30,0.25,0.1,10,0.5,0.860382379311465
30,0.30000000000000004,0.0,10,0.5,0.5025576238233616
30,0.30000000000000004,0.01,10,0.5,0.7423210626553542
30,0.30000000000000004,0.02,10,0.5,0.7939815431550648
30,0.30000000000000004,0.03,10,0.5,0.8222766509403115
30,0.30000000000000004,0.04,10,0.5,0.8294514589758224
30,0.30000000000000004,0.05,10,0.5,0.8538775704340504
30,0.30000000000000004,0.06,10,0.5,0.838070586981423
30,0.30000000000000004,0.07,10,0.5,0.8617566084690351
30,0.30000000000000004,0.08,10,0.5,0.8618734020430071
30,0.30000000000000004,0.09,10,0.5,0.86570961446836
30,0.30000000000000004,0.1,10,0.5,0.8590359544949638
30,0.35000000000000003,0.0,10,0.5,0.4885334182926134
30,0.35000000000000003,0.01,10,0.5,0.7717729041419354
30,0.35000000000000003,0.02,10,0.5,0.8058502730874912
30,0.35000000000000003,0.03,10,0.5,0.8185067396456163
30,0.35000000000000003,0.04,10,0.5,0.848189066167806
30,0.35000000000000003,0.05,10,0.5,0.8539159150072396
30,0.35000000000000003,0.06,10,0.5,0.8636938997572223
30,0.35000000000000003,0.07,10,0.5,0.8658306615686504
30,0.35000000000000003,0.08,10,0.5,0.8527955878625335
30,0.35000000000000003,0.09,10,0.5,0.8599140657457502
30,0.35000000000000003,0.1,10,0.5,0.8620214471891723
30,0.4,0.0,10,0.5,0.4805751958971144
30,0.4,0.01,10,0.5,0.762864608812729
30,0.4,0.02,10,0.5,0.7967718004512423
30,0.4,0.03,10,0.5,0.8268820428424088
30,0.4,0.04,10,0.5,0.8452641407973345
30,0.4,0.05,10,0.5,0.851004652042849
30,0.4,0.06,10,0.5,0.8492507687048594
30,0.4,0.07,10,0.5,0.8507370420656477
30,0.4,0.08,10,0.5,0.8587219335205848
30,0.4,0.09,10,0.5,0.8561531143775974
30,0.4,0.1,10,0.5,0.8523925459319216
30,0.45,0.0,10,0.5,0.5160669971738527
30,0.45,0.01,10,0.5,0.762227794889571
30,0.45,0.02,10,0.5,0.8114560640833111
30,0.45,0.03,10,0.5,0.8386894902850246
30,0.45,0.04,10,0.5,0.8381168260094388
30,0.45,0.05,10,0.5,0.8678222604532576
30,0.45,0.06,10,0.5,0.8654540226895686
30,0.45,0.07,10,0.5,0.8666718548874138
30,0.45,0.08,10,0.5,0.848956905716504
30,0.45,0.09,10,0.5,0.8647019047279325
30,0.45,0.1,10,0.5,0.862263962072017
30,0.5,0.0,10,0.5,0.47961592813776455
30,0.5,0.01,10,0.5,0.7612595452212898
30,0.5,0.02,10,0.5,0.8190699860826329
30,0.5,0.03,10,0.5,0.8441671449204421
30,0.5,0.04,10,0.5,0.8597684466201652
30,0.5,0.05,10,0.5,0.8639708369535746
30,0.5,0.06,10,0.5,0.8632034039018521
30,0.5,0.07,10,0.5,0.8614947923906862
30,0.5,0.08,10,0.5,0.8640978810962295
30,0.5,0.09,10,0.5,0.834410789143303
30,0.5,0.1,10,0.5,0.8483563239732516
30,0.55,0.0,10,0.5,0.5027950638237368
30,0.55,0.01,10,0.5,0.7478809736241294
30,0.55,0.02,10,0.5,0.8110143728491059
30,0.55,0.03,10,0.5,0.8363837224642728
