Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
10,0.0,0.0,10,0.5,0.0
10,0.0,0.01,10,0.5,0.015216374269005848
10,0.0,0.02,10,0.5,0.011818181818181818
10,0.0,0.03,10,0.5,0.007918341904316659
10,0.0,0.04,10,0.5,0.007721301686818929
10,0.0,0.05,10,0.5,0.022729898653118464
10,0.0,0.06,10,0.5,0.011287449392712551
10,0.0,0.07,10,0.5,0.014424480172763925
10,0.0,0.08,10,0.5,0.020710440986601977
10,0.0,0.09,10,0.5,0.016058420110827438
10,0.0,0.1,10,0.5,0.01620940170940171
10,0.05,0.0,10,0.5,0.6208423125234617
10,0.05,0.01,10,0.5,0.6350951733022445
10,0.05,0.02,10,0.5,0.6534624265739558
10,0.05,0.03,10,0.5,0.6564669362211721
10,0.05,0.04,10,0.5,0.6536456145016467
10,0.05,0.05,10,0.5,0.6684180970722627
10,0.05,0.06,10,0.5,0.6651631342259747
10,0.05,0.07,10,0.5,0.685933271215341
10,0.05,0.08,10,0.5,0.6700441059812375
10,0.05,0.09,10,0.5,0.6776500462453463
10,0.05,0.1,10,0.5,0.6885131734876534
10,0.1,0.0,10,0.5,0.5826530546188678
10,0.1,0.01,10,0.5,0.6630900628255324
10,0.1,0.02,10,0.5,0.6767815814763276
10,0.1,0.03,10,0.5,0.66492312857742
10,0.1,0.04,10,0.5,0.6915315592847514
10,0.1,0.05,10,0.5,0.7217095342998074
10,0.1,0.06,10,0.5,0.6792887605638397
10,0.1,0.07,10,0.5,0.6874563324033474
10,0.1,0.08,10,0.5,0.7088881615519079
10,0.1,0.09,10,0.5,0.7160296271728283
10,0.1,0.1,10,0.5,0.7359022452122445
10,0.15000000000000002,0.0,10,0.5,0.5996312482416353
10,0.15000000000000002,0.01,10,0.5,0.6401996354347314
10,0.15000000000000002,0.02,10,0.5,0.6841976765202031
10,0.15000000000000002,0.03,10,0.5,0.6842652282737391
10,0.15000000000000002,0.04,10,0.5,0.7004816750698979
10,0.15000000000000002,0.05,10,0.5,0.7167116626923731
10,0.15000000000000002,0.06,10,0.5,0.7184093580584303
10,0.15000000000000002,0.07,10,0.5,0.7240110477431202
10,0.15000000000000002,0.08,10,0.5,0.7301756918199793
10,0.15000000000000002,0.09,10,0.5,0.7394363247365545
10,0.15000000000000002,0.1,10,0.5,0.7600823711817157
10,0.2,0.0,10,0.5,0.5915082464315955
10,0.2,0.01,10,0.5,0.6538299969096028
10,0.2,0.02,10,0.5,0.6744660670517898
10,0.2,0.03,10,0.5,0.7065751404288821
