Optimal vals below
10,1.2000000000000002,0.05,9,0.4,0.8588628634432037
Optimal vals below
15,0.8,0.05,9,0.4,0.8668393714232239
Optimal vals below
20,1.2000000000000002,0.05,11,0.5,0.871066111550817
Optimal vals below
25,0.6000000000000001,0.05,9,0.4,0.8836574282330755
Optimal vals below
30,0.8,0.05,11,0.5,0.8864097861958158
Optimal vals below
35,0.8,0.05,10,0.6,0.8754558312612549
Optimal vals below
40,1.2000000000000002,0.05,9,0.6,0.8843856874863951
Optimal vals below
45,0.8,0.05,9,0.6,0.8818385386409016
Optimal vals below
50,0.6000000000000001,0.05,9,0.5,0.8892209976061131

Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
30,0.0,0.0,9,0.4,0.001999373040752351
30,0.0,0.0,9,0.5,0.0007766990291262135
30,0.0,0.0,9,0.6,0.0
30,0.0,0.0,10,0.4,0.001405952380952381
30,0.0,0.0,10,0.5,0.0008429458740017745
30,0.0,0.0,10,0.6,0.0
30,0.0,0.0,11,0.4,0.0014054366685945635
30,0.0,0.0,11,0.5,0.0020512820512820513
30,0.0,0.0,11,0.6,0.0009674681753889674
30,0.0,0.05,9,0.4,0.026778649036962986
30,0.0,0.05,9,0.5,0.023475138421854634
30,0.0,0.05,9,0.6,0.026324739615533197
30,0.0,0.05,10,0.4,0.02463591527759192
30,0.0,0.05,10,0.5,0.029347775161050187
30,0.0,0.05,10,0.6,0.01504849977787353
30,0.0,0.05,11,0.4,0.031701608436355104
30,0.0,0.05,11,0.5,0.025348059062326088
30,0.0,0.05,11,0.6,0.018889821872327624
30,0.0,0.1,9,0.4,0.03540642457303875
30,0.0,0.1,9,0.5,0.034397616354182446
30,0.0,0.1,9,0.6,0.031470415536855374
30,0.0,0.1,10,0.4,0.047827512135684834
30,0.0,0.1,10,0.5,0.03594530921942493
30,0.0,0.1,10,0.6,0.025881917324511207
30,0.0,0.1,11,0.4,0.046021345033292464
30,0.0,0.1,11,0.5,0.026055873494465386
30,0.0,0.1,11,0.6,0.022840783645402804
30,0.0,0.15000000000000002,9,0.4,0.052278870832667156
30,0.0,0.15000000000000002,9,0.5,0.05827329215584459
30,0.0,0.15000000000000002,9,0.6,0.03371200122654764
30,0.0,0.15000000000000002,10,0.4,0.05866675656927969
30,0.0,0.15000000000000002,10,0.5,0.039520987241716564
30,0.0,0.15000000000000002,10,0.6,0.028251387114931737
30,0.0,0.15000000000000002,11,0.4,0.057361455240113095
30,0.0,0.15000000000000002,11,0.5,0.03968108002421637
30,0.0,0.15000000000000002,11,0.6,0.03235343946889771
30,0.0,0.2,9,0.4,0.07218605067950658
30,0.0,0.2,9,0.5,0.05217971028483499
30,0.0,0.2,9,0.6,0.03772965881922147
30,0.0,0.2,10,0.4,0.06167625284735771
30,0.0,0.2,10,0.5,0.04632365844893257
30,0.0,0.2,10,0.6,0.04737639624867428
30,0.0,0.2,11,0.4,0.06711321650965103
30,0.0,0.2,11,0.5,0.057628796019746485
30,0.0,0.2,11,0.6,0.041931810881015504
30,0.0,0.25,9,0.4,0.0700751316722627
30,0.0,0.25,9,0.5,0.06859853519827297
30,0.0,0.25,9,0.6,0.05526221443615428
30,0.0,0.25,10,0.4,0.08086756880219965
30,0.0,0.25,10,0.5,0.06445912948846903
30,0.0,0.25,10,0.6,0.04501682999914503
30,0.0,0.25,11,0.4,0.08174343386606531
30,0.0,0.25,11,0.5,0.05161434024141274
30,0.0,0.25,11,0.6,0.043334112483733395
30,0.0,0.30000000000000004,9,0.4,0.0887889376481733
30,0.0,0.30000000000000004,9,0.5,0.06390284920942749
30,0.0,0.30000000000000004,9,0.6,0.0620861774832165
30,0.0,0.30000000000000004,10,0.4,0.07499262127411038
30,0.0,0.30000000000000004,10,0.5,0.0784580476485865
30,0.0,0.30000000000000004,10,0.6,0.054562493537214325
30,0.0,0.30000000000000004,11,0.4,0.0808308574279822
30,0.0,0.30000000000000004,11,0.5,0.05684574967790115
30,0.0,0.30000000000000004,11,0.6,0.04749233316673766
30,0.0,0.35000000000000003,9,0.4,0.09872404112990882
30,0.0,0.35000000000000003,9,0.5,0.0732384751197668
30,0.0,0.35000000000000003,9,0.6,0.07810792862296081
30,0.0,0.35000000000000003,10,0.4,0.09176719096285087
30,0.0,0.35000000000000003,10,0.5,0.07673290620552814
30,0.0,0.35000000000000003,10,0.6,0.06609469508988786
30,0.0,0.35000000000000003,11,0.4,0.08280088450478715
30,0.0,0.35000000000000003,11,0.5,0.06208657761435906
30,0.0,0.35000000000000003,11,0.6,0.05630794687700094
30,0.0,0.4,9,0.4,0.12259832063977068
30,0.0,0.4,9,0.5,0.096164116765104
30,0.0,0.4,9,0.6,0.08090005949432001
30,0.0,0.4,10,0.4,0.11962542349192028
