   ETEX Release 1 on 23 October 1994    PMCH concentrations in ng/m3 above ambient level         Version etex1_v1.1.960505                                       
              1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30
  25  D02   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .01   .02   .12   .10   .12   .30   .35   .21   .01   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  26  D03   -.99  -.88  -.99  -.99  -.88  -.88  -.88  -.88   .00   .00   .00  -.88  -.88  -.88  -.88  -.88   .01  -.88  -.88  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  27  D04   -.99  -.88  -.88  -.88  -.88   .20   .02   .04   .12   .03   .03  -.88  -.88  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  28  D05   -.99  -.88  -.88  -.88  -.88  -.88   .00   .00   .00   .00   .01   .18   .47   .62  1.02   .86   .36   .18   .04   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  29  D06   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .02   .00   .04   .89  2.50   .63   .10   .03   .39  -.99   .08  -.99   .00  -.99   .00  -.99  -.99  -.99  -.99  -.99  -.99
  30  D07   -.99   .00  -.88  -.99  -.99  -.99  -.99  -.99  -.99  -.88   .07   .10  5.21  -.99  -.99   .57  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  31  D08   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.88   .11  -.88   .52   .34   .28   .06   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  32  D09   -.99  -.88   .00   .00   .00   .00   .00   .00   .00   .02   .36   .39   .43   .46   .33   .31   .23   .16   .04   .01   .01   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  33  D10   -.99  -.88  -.88   .00   .00   .00   .03   .07   .03   .23  2.55  1.91   .68   .11   .01   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  34  D11   -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  35  D12   -.99   .00   .00  -.88  -.88  -.88  -.88  -.88   .00   .40  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.99  -.99
  36  D13   -.99   .00   .00   .00   .00   .00   .06   .71   .79  2.11  1.24   .47   .09   .04   .03   .00   .00  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  37  D14   -.99   .00  -.88  -.88   .00  -.88   .00   .00   .00   .00   .00   .17   .42   .47   .72   .27   .26   .14   .10   .07   .02   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  38  D15   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .08   .03   .10   .04   .08   .29   .26   .05   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  39  D16   -.99   .00   .00   .00   .00   .00   .00   .01   .00   .01   .00   .00   .02   .09   .11   .15   .11   .01   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  40  D17   -.99   .00  -.88   .00   .00   .00   .00   .00   .07  -.99  -.99  1.24  -.99   .58   .36  1.28   .01   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  41  D18   -.99  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.99  -.99
  42  D19   -.99  -.88  -.88  -.88  -.88  -.88  -.88  -.88   .15   .59   .80   .94   .46   .09   .02   .01   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  43  D20   -.99   .00  -.99   .00  -.99   .00  -.99   .00  -.99   .01  -.99   .01  -.99   .01  -.99   .01  -.99   .01  -.99   .01  -.99   .01  -.99   .01  -.99  -.99  -.99  -.99  -.99  -.99
  44  D21   -.99  -.99   .00   .00  -.88  -.88  -.88  -.99  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.99  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.99  -.99
  45  D22   -.99   .00   .00   .00   .00   .00   .00   .06   .17   .20   .19   .28  -.99   .12   .01   .01   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  46  D23   -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
  47  D24   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .01   .12   .23   .30   .43   .43   .32   .28   .21   .05   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  48  D25   -.99  -.99   .00   .00   .00   .01   .00   .06   .00   .04   .01  2.02  1.31  -.88   .18  -.99   .00   .00   .00   .00  -.99   .00  -.99   .00  -.99  -.99  -.99  -.99  -.99  -.99
  49  D26   -.99  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.99  -.99
  50  D27   -.99   .00   .00   .00  -.88   .00   .00   .01   .00   .07   .16  -.88   .09   .31   .53   .46   .24   .09   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  51  D28   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .16  -.99   .15  -.99   .01  -.99   .17  -.99   .00  -.99   .00   .00   .00  -.88   .00  -.99  -.99  -.99  -.99  -.99
  52  D29   -.99  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88  -.88   .42  -.99  -.99  -.99  -.99  -.99
  53  D30   -.99   .00   .00   .00   .00   .00   .00   .00   .01   .04   .03   .23   .19   .13   .03   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  54  D31   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .01   .09   .12   .19   .17   .55   .59   .38   .16   .02   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  55  D32   -.99  -.88  -.88  -.88  -.88   .01  -.88   .00  -.99   .00   .02   .07   .17   .55   .93   .63   .33   .14  -.99   .00  -.99   .00  -.99   .00  -.99  -.99  -.99  -.99  -.99  -.99
  56  D33   -.99   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .35   .42   .13   .03   .01   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  57  D34   -.99   .00   .00   .00   .00   .27   .71   .39   .24   .97   .68   .16   .01   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  58  D35   -.99   .00   .00   .00   .00   .00   .00   .09   .43   .38   .27   .24   .10   .02   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  59  D36   -.99   .00   .00   .00   .00   .00   .05   .26   .23   .18   .08   .01   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00   .00  -.99  -.99  -.99  -.99  -.99
  60  D37   -.99  -.88  -.88  -.88  -.88  -.88  -.99  -.99  -.99  -.88   .33  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99  -.99
